Experiment Title,,,,,,,,,
Well ID,Type,Contents,Protein Name,Protein Concentration,Tracer Name,Tracer Concentration,Competitor Name,Competitor Concentration,Concentration Units
D24,Compound,,Protein,5000,Tracer,50,Competitor 2,62500,nM
E1,Compound,,Protein,5000,Tracer,50,Competitor 3,500000,nM
E2,Compound,,Protein,5000,Tracer,50,Competitor 3,250000,nM
E3,Compound,,Protein,5000,Tracer,50,Competitor 3,125000,nM
E4,Compound,,Protein,5000,Tracer,50,Competitor 3,62500,nM
E5,Compound,,Protein,5000,Tracer,50,Competitor 3,31250,nM
E6,Compound,,Protein,5000,Tracer,50,Competitor 3,15625,nM
E7,Compound,,Protein,5000,Tracer,50,Competitor 3,7812.5,nM
E8,Compound,,Protein,5000,Tracer,50,Competitor 3,3906.25,nM
E9,Compound,,Protein,5000,Tracer,50,Competitor 3,1953.125,nM
E10,Compound,,Protein,5000,Tracer,50,Competitor 3,976.5625,nM
E11,Compound,,Protein,5000,Tracer,50,Competitor 3,488.28125,nM
E12,Compound,,Protein,5000,Tracer,50,Competitor 3,244.140625,nM
E13,Compound,,Protein,5000,Tracer,50,Competitor 3,122.0703125,nM
E14,Compound,,Protein,5000,Tracer,50,Competitor 3,61.03515625,nM
E15,Compound,,Protein,5000,Tracer,50,Competitor 3,30.51757813,nM
E16,Compound,,Protein,5000,Tracer,50,Competitor 3,15.25878906,nM
E17,,,,,,,,,
E18,,,,,,,,,
E19,Blank,,Protein,5000,,,Competitor 2,31250,nM
E20,Blank,,Protein,5000,,,Competitor 2,31250,nM
E21,Blank,,Protein,5000,,,Competitor 2,31250,nM
E22,Compound,,Protein,5000,Tracer,50,Competitor 2,31250,nM
E23,Compound,,Protein,5000,Tracer,50,Competitor 2,31250,nM
E24,Compound,,Protein,5000,Tracer,50,Competitor 2,31250,nM
F1,Blank,,Protein,5000,,,Competitor 3,500000,nM
F2,Blank,,Protein,5000,,,Competitor 3,250000,nM
F3,Blank,,Protein,5000,,,Competitor 3,125000,nM
F4,Blank,,Protein,5000,,,Competitor 3,62500,nM
F5,Blank,,Protein,5000,,,Competitor 3,31250,nM
F6,Blank,,Protein,5000,,,Competitor 3,15625,nM
F7,Blank,,Protein,5000,,,Competitor 3,7812.5,nM
F8,Blank,,Protein,5000,,,Competitor 3,3906.25,nM
F9,Blank,,Protein,5000,,,Competitor 3,1953.125,nM
F10,Blank,,Protein,5000,,,Competitor 3,976.5625,nM
F11,Blank,,Protein,5000,,,Competitor 3,488.28125,nM
F12,Blank,,Protein,5000,,,Competitor 3,244.140625,nM
F13,Blank,,Protein,5000,,,Competitor 3,122.0703125,nM
F14,Blank,,Protein,5000,,,Competitor 3,61.03515625,nM
F15,Blank,,Protein,5000,,,Competitor 3,30.51757813,nM
F16,Blank,,Protein,5000,,,Competitor 3,15.25878906,nM
F17,,,,,,,,,
F18,,,,,,,,,
F19,Blank,,Protein,5000,,,Competitor 2,15625,nM
F20,Blank,,Protein,5000,,,Competitor 2,15625,nM
F21,Blank,,Protein,5000,,,Competitor 2,15625,nM
F22,Compound,,Protein,5000,Tracer,50,Competitor 2,15625,nM
F23,Compound,,Protein,5000,Tracer,50,Competitor 2,15625,nM
F24,Compound,,Protein,5000,Tracer,50,Competitor 2,15625,nM
G1,Blank,,Protein,5000,,,Competitor 3,500000,nM
G2,Blank,,Protein,5000,,,Competitor 3,250000,nM
G3,Blank,,Protein,5000,,,Competitor 3,125000,nM
G4,Blank,,Protein,5000,,,Competitor 3,62500,nM
G5,Blank,,Protein,5000,,,Competitor 3,31250,nM
G6,Blank,,Protein,5000,,,Competitor 3,15625,nM
G7,Blank,,Protein,5000,,,Competitor 3,7812.5,nM
G8,Blank,,Protein,5000,,,Competitor 3,3906.25,nM
G9,Blank,,Protein,5000,,,Competitor 3,1953.125,nM
G10,Blank,,Protein,5000,,,Competitor 3,976.5625,nM
G11,Blank,,Protein,5000,,,Competitor 3,488.28125,nM
G12,Blank,,Protein,5000,,,Competitor 3,244.140625,nM
G13,Blank,,Protein,5000,,,Competitor 3,122.0703125,nM
G14,Blank,,Protein,5000,,,Competitor 3,61.03515625,nM
G15,Blank,,Protein,5000,,,Competitor 3,30.51757813,nM
G16,Blank,,Protein,5000,,,Competitor 3,15.25878906,nM
G17,,,,,,,,,
G18,,,,,,,,,
G19,Blank,,Protein,5000,,,Competitor 2,7812.5,nM
G20,Blank,,Protein,5000,,,Competitor 2,7812.5,nM
G21,Blank,,Protein,5000,,,Competitor 2,7812.5,nM
G22,Compound,,Protein,5000,Tracer,50,Competitor 2,7812.5,nM
G23,Compound,,Protein,5000,Tracer,50,Competitor 2,7812.5,nM
G24,Compound,,Protein,5000,Tracer,50,Competitor 2,7812.5,nM
H1,Blank,,Protein,5000,,,Competitor 3,500000,nM
H2,Blank,,Protein,5000,,,Competitor 3,250000,nM
H3,Blank,,Protein,5000,,,Competitor 3,125000,nM
H4,Blank,,Protein,5000,,,Competitor 3,62500,nM
H5,Blank,,Protein,5000,,,Competitor 3,31250,nM
H6,Blank,,Protein,5000,,,Competitor 3,15625,nM
H7,Blank,,Protein,5000,,,Competitor 3,7812.5,nM
H8,Blank,,Protein,5000,,,Competitor 3,3906.25,nM
H9,Blank,,Protein,5000,,,Competitor 3,1953.125,nM
H10,Blank,,Protein,5000,,,Competitor 3,976.5625,nM
H11,Blank,,Protein,5000,,,Competitor 3,488.28125,nM
H12,Blank,,Protein,5000,,,Competitor 3,244.140625,nM
H13,Blank,,Protein,5000,,,Competitor 3,122.0703125,nM
H14,Blank,,Protein,5000,,,Competitor 3,61.03515625,nM
H15,Blank,,Protein,5000,,,Competitor 3,30.51757813,nM
H16,Blank,,Protein,5000,,,Competitor 3,15.25878906,nM
H17,,,,,,,,,
H18,,,,,,,,,
H19,Blank,,Protein,5000,,,Competitor 2,3906.25,nM
H20,Blank,,Protein,5000,,,Competitor 2,3906.25,nM
H21,Blank,,Protein,5000,,,Competitor 2,3906.25,nM
H22,Compound,,Protein,5000,Tracer,50,Competitor 2,3906.25,nM
H23,Compound,,Protein,5000,Tracer,50,Competitor 2,3906.25,nM
H24,Compound,,Protein,5000,Tracer,50,Competitor 2,3906.25,nM
I1,Compound,,Protein,5000,Tracer,50,Competitor 4,500000,nM
I2,Compound,,Protein,5000,Tracer,50,Competitor 4,250000,nM
I3,Compound,,Protein,5000,Tracer,50,Competitor 4,125000,nM
I4,Compound,,Protein,5000,Tracer,50,Competitor 4,62500,nM
I5,Compound,,Protein,5000,Tracer,50,Competitor 4,31250,nM
I6,Compound,,Protein,5000,Tracer,50,Competitor 4,15625,nM
I7,Compound,,Protein,5000,Tracer,50,Competitor 4,7812.5,nM
I8,Compound,,Protein,5000,Tracer,50,Competitor 4,3906.25,nM
I9,Compound,,Protein,5000,Tracer,50,Competitor 4,1953.125,nM
I10,Compound,,Protein,5000,Tracer,50,Competitor 4,976.5625,nM
I11,Compound,,Protein,5000,Tracer,50,Competitor 4,488.28125,nM
I12,Compound,,Protein,5000,Tracer,50,Competitor 4,244.140625,nM
I13,Compound,,Protein,5000,Tracer,50,Competitor 4,122.0703125,nM
I14,Compound,,Protein,5000,Tracer,50,Competitor 4,61.03515625,nM
I15,Compound,,Protein,5000,Tracer,50,Competitor 4,30.51757813,nM
I16,Compound,,Protein,5000,Tracer,50,Competitor 4,15.25878906,nM
I17,,,,,,,,,
I18,,,,,,,,,
I19,Blank,,Protein,5000,,,Competitor 2,1953.125,nM
I20,Blank,,Protein,5000,,,Competitor 2,1953.125,nM
I21,Blank,,Protein,5000,,,Competitor 2,1953.125,nM
I22,Compound,,Protein,5000,Tracer,50,Competitor 2,1953.125,nM
I23,Compound,,Protein,5000,Tracer,50,Competitor 2,1953.125,nM
I24,Compound,,Protein,5000,Tracer,50,Competitor 2,1953.125,nM
J1,Compound,,Protein,5000,Tracer,50,Competitor 4,500000,nM
J2,Compound,,Protein,5000,Tracer,50,Competitor 4,250000,nM
J3,Compound,,Protein,5000,Tracer,50,Competitor 4,125000,nM
J4,Compound,,Protein,5000,Tracer,50,Competitor 4,62500,nM
J5,Compound,,Protein,5000,Tracer,50,Competitor 4,31250,nM
J6,Compound,,Protein,5000,Tracer,50,Competitor 4,15625,nM
J7,Compound,,Protein,5000,Tracer,50,Competitor 4,7812.5,nM
J8,Compound,,Protein,5000,Tracer,50,Competitor 4,3906.25,nM
J9,Compound,,Protein,5000,Tracer,50,Competitor 4,1953.125,nM
J10,Compound,,Protein,5000,Tracer,50,Competitor 4,976.5625,nM
J11,Compound,,Protein,5000,Tracer,50,Competitor 4,488.28125,nM
J12,Compound,,Protein,5000,Tracer,50,Competitor 4,244.140625,nM
J13,Compound,,Protein,5000,Tracer,50,Competitor 4,122.0703125,nM
J14,Compound,,Protein,5000,Tracer,50,Competitor 4,61.03515625,nM
J15,Compound,,Protein,5000,Tracer,50,Competitor 4,30.51757813,nM
J16,Compound,,Protein,5000,Tracer,50,Competitor 4,15.25878906,nM
J17,,,,,,,,,
J18,,,,,,,,,
J19,Blank,,Protein,5000,,,Competitor 2,976.5625,nM
J20,Blank,,Protein,5000,,,Competitor 2,976.5625,nM
J21,Blank,,Protein,5000,,,Competitor 2,976.5625,nM
J22,Compound,,Protein,5000,Tracer,50,Competitor 2,976.5625,nM
J23,Compound,,Protein,5000,Tracer,50,Competitor 2,976.5625,nM
J24,Compound,,Protein,5000,Tracer,50,Competitor 2,976.5625,nM
K1,Compound,,Protein,5000,Tracer,50,Competitor 4,500000,nM
K2,Compound,,Protein,5000,Tracer,50,Competitor 4,250000,nM
K3,Compound,,Protein,5000,Tracer,50,Competitor 4,125000,nM
K4,Compound,,Protein,5000,Tracer,50,Competitor 4,62500,nM
